2026/03/21 09:25:15 Загружено 2 подписчиков
2026/03/21 09:25:16 Запуск анализа рынка (1h Stoch RSI)...
2026/03/21 09:28:17 BCHPERP Stoch RSI(1h,7)=100.00
2026/03/21 09:28:17 BCHUSDT Stoch RSI(1h,7)=82.41
2026/03/21 09:28:18 BEAMUSDT Stoch RSI(1h,7)=77.80
2026/03/21 09:28:18 BEATUSDT Stoch RSI(1h,7)=95.43
2026/03/21 09:28:19 BELUSDT Stoch RSI(1h,7)=66.91
2026/03/21 09:28:19 BERAUSDT Stoch RSI(1h,7)=58.42
2026/03/21 09:28:20 BICOUSDT Stoch RSI(1h,7)=100.00
2026/03/21 09:28:20 Анализ завершён. Следующий запуск через 1 минуту...
2026/03/21 09:29:20 Запуск анализа рынка (1h Stoch RSI)...
2026/03/21 09:29:22 0GUSDT Stoch RSI(1h,7)=77.95
2026/03/21 09:29:22 1000000BABYDOGEUSDT Stoch RSI(1h,7)=71.69
2026/03/21 09:29:23 1000000CHEEMSUSDT Stoch RSI(1h,7)=55.46
2026/03/21 09:29:23 1000000MOGUSDT Stoch RSI(1h,7)=72.63
2026/03/21 09:29:24 10000QUBICUSDT Stoch RSI(1h,7)=57.72
2026/03/21 09:29:24 10000SATSUSDT Stoch RSI(1h,7)=80.23
2026/03/21 09:29:25 1000BONKPERP Stoch RSI(1h,7)=58.86
2026/03/21 09:29:25 1000BONKUSDT Stoch RSI(1h,7)=38.35
2026/03/21 09:29:26 1000BTTUSDT Stoch RSI(1h,7)=39.80
2026/03/21 09:29:26 1000CATUSDT Stoch RSI(1h,7)=86.66
2026/03/21 09:29:27 1000FLOKIUSDT Stoch RSI(1h,7)=33.49
2026/03/21 09:29:27 1000LUNCUSDT Stoch RSI(1h,7)=48.15
2026/03/21 09:29:27 1000NEIROCTOPERP Stoch RSI(1h,7)=52.78
2026/03/21 09:29:28 1000NEIROCTOUSDT Stoch RSI(1h,7)=25.94
2026/03/21 09:29:28 1000PEPEPERP Stoch RSI(1h,7)=100.00
2026/03/21 09:29:29 1000PEPEUSDT Stoch RSI(1h,7)=49.58
